Oliver Connell & Son Limited,,, -   ,,,rev O,OH&P,NETT ALLOWANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client,,, -   ,,,20 May 22,,TOTAL,LABOUR,,,,,,PLANT,,,,,MATERIALS,,,,S/C,,Prelims,,TOTAL,LABOUR,,,,,,PLANT,,,,,MATERIALS,,,,S/C,,PRELIMS,
Site,,, -   ,,,ref xxxx,,,Conc lab,Gdwkr,Carp,S/fixer,Other,Plant Op,Plant,Fuel,Fwk,Ply/Tim,Temp mat,Concrete,Rebar,Fill,Other,C/A,Other,Supervision,Other,,Conc lab,Gdwkr,Carp,S/fixer,Other,Plant Op,Plant,Fuel,Fwk,Ply/Tim,Temp mat,Concrete,Rebar,Fill,Other,C/A,Other,Staff,Other
,,, Quant ,Unit,Rate,Total,18.0%,,22.61,24.44,26.28,25.97,31.78,26.89,14.44,,,41.50,,,"1,170.00",,,300.00,,,,,,,,,,,,,,,,,,,,,,,
Groundworks,,, -   ,,,,,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,1.0000,1.0000,1.0000,,,,,,man weeks,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,
,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schedule of Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preambles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,155mm thk Heaveguard pilecollars to 450mm dia piles,,,nr,25.42,,3.88,21.54,,4.89,,,,,,,,,,,,,16.65,,,,,,,,,,,,,,,,,,,,,,,,
642,155mm thk Heaveguard pilecollars to 600mm dia piles,,,nr,30.81,,4.70,26.11,,4.89,,,,,,,,,,,,,21.22,,,,,,,,,,,,,,,,,,,,,,,,
643,220mm thk Heaveguard pilecollars to 450mm dia piles,,,nr,28.95,,4.42,24.53,,4.89,,,,,,,,,,,,,19.64,,,,,,,,,,,,,,,,,,,,,,,,
644,220mm thk Heaveguard pilecollars to 600mm dia piles,,,nr,35.43,,5.40,30.02,,4.89,,,,,,,,,,,,,25.13,,,,,,,,,,,,,,,,,,,,,,,,
645,Dufaylite Clayboard; KN30; 85mm thk; wrapped in polythene; horizontal,,,m2,29.44,,4.49,24.95,,4.89,,,,,,,,,,,,,20.06,,,,,,,,,,,,,,,,,,,,,,,,
646,Claymaster; 50mm thk; vertical,,,m2,12.33,,1.88,10.45,,6.11,,,,,,,,,,,,,4.34,,,,,,,,,,,,,,,,,,,,,,,,
647,Claymaster; 75mm thk; vertical,,,m2,13.96,,2.13,11.83,,6.11,,,,,,,,,,,,,5.72,,,,,,,,,,,,,,,,,,,,,,,,
648,Claymaster; 100mm thk; vertical,,,m2,16.53,,2.52,14.01,,6.11,,,,,,,,,,,,,7.90,,,,,,,,,,,,,,,,,,,,,,,,
649,Claymaster; 200mm thk; vertical,,,m2,33.35,,5.09,28.27,,6.61,,,,,,,,,,,,,21.66,,,,,,,,,,,,,,,,,,,,,,,,
650,Claymaster; 300mm thk; vertical,,,m2,54.81,,8.36,46.45,,7.41,,,,,,,,,,,,,39.04,,,,,,,,,,,,,,,,,,,,,,,,
651,Ventform 80/20; with gas membrane,,,m2,24.28,,3.70,20.58,,5.53,,,,,,,,,,,,,15.05,,,,,,,,,,,,,,,,,,,,,,,,
652,Ventform 100/20; with gas membrane,,,m2,26.32,,4.02,22.31,,5.53,,,,,,,,,,,,,16.78,,,,,,,,,,,,,,,,,,,,,,,,
653,Ventform 150/09; with gas membrane,,,m2,27.80,,4.24,23.56,,5.53,,,,,,,,,,,,,18.03,,,,,,,,,,,,,,,,,,,,,,,,
654,Ventform 200/09; with gas membrane,,,m2,33.34,,5.09,28.25,,5.53,,,,,,,,,,,,,22.72,,,,,,,,,,,,,,,,,,,,,,,,
655,Cellvent; 200 thk; HG 30/40,,,m2,40.04,,6.11,33.94,,5.53,,,,,,,,,,,,,28.41,,,,,,,,,,,,,,,,,,,,,,,,
656,Cellvent; 200 thk; HG 50/65,,,m2,40.04,,6.11,33.94,,5.53,,,,,,,,,,,,,28.41,,,,,,,,,,,,,,,,,,,,,,,,
657,Cellvent; 270 thk; HX 9/13,,,m2,51.57,,7.87,43.70,,5.53,,,,,,,,,,,,,38.18,,,,,,,,,,,,,,,,,,,,,,,,
658,Cellvent; 270 thk; HX 24/32,,,m2,53.59,,8.17,45.42,,5.53,,,,,,,,,,,,,39.89,,,,,,,,,,,,,,,,,,,,,,,,
659,Cellvent; 575 thk; HX 9/13,,,m2,72.97,,11.13,61.84,,5.53,,,,,,,,,,,,,56.31,,,,,,,,,,,,,,,,,,,,,,,,
660,Premcrete Hydrovoid 25mm,,,m2,16.21,,2.47,13.74,,3.06,,,,,0.50,,,,,,,,10.18,,,,,,,,,,,,,,,,,,,,,,,,
661,Premcrete Hydrovoid 25mm x 900wde (@ 3.0m c/s),,,m,12.96,,1.98,10.98,,2.75,,,,,0.50,,,,,,,,7.73,,,,,,,,,,,,,,,,,,,,,,,,
662,"Premcrete Hydrovoid external vent box, pipework and vent mat connector",,,nr,250.42,,38.20,212.22,,24.44,,,,,0.50,,,,,,,,187.28,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Insulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Insulation; Celotex GA4000; 25mm thk; vert,,,m2,11.13,,1.70,9.44,,,4.38,,,,,,,,,,,,5.06,,,,,,,,,,,,,,,,,,,,,,,,
664,Insulation; Celotex GA4000; 50mm thk; horz,,,m2,11.65,,1.78,9.87,,,3.28,,,,,,,,,,,,6.59,,,,,,,,,,,,,,,,,,,,,,,,
665,Insulation; Celotex GA4000; 50mm thk; vert,,,m2,16.38,,2.50,13.88,,,4.38,,,,,,,,,,,,9.50,,,,,,,,,,,,,,,,,,,,,,,,
666,Insulation; Celotex GA4000; 75mm thk; horz,,,m2,15.62,,2.38,13.24,,,3.28,,,,,,,,,,,,9.96,,,,,,,,,,,,,,,,,,,,,,,,
667,Insulation; Celotex GA4000; 75mm thk; vert,,,m2,12.59,,1.92,10.67,,,4.38,,,,,,,,,,,,6.29,,,,,,,,,,,,,,,,,,,,,,,,
668,Insulation; Celotex GA4000; 100mm thk; horz,,,m2,18.03,,2.75,15.28,,,3.28,,,,,,,,,,,,11.99,,,,,,,,,,,,,,,,,,,,,,,,
669,Insulation; Celotex GA4000; 100mm thk; vert,,,m2,20.35,,3.10,17.25,,,5.26,,,,,,,,,,,,11.99,,,,,,,,,,,,,,,,,,,,,,,,
670,Insulation; Celotex GA4000; 120mm thk; horz,,,m2,20.83,,3.18,17.65,,,3.28,,,,,,,,,,,,14.36,,,,,,,,,,,,,,,,,,,,,,,,
671,Insulation; Celotex GA4000; 200mm thk; horz,,,m2,32.31,,4.93,27.38,,,3.50,,,,,,,,,,,,23.88,,,,,,,,,,,,,,,,,,,,,,,,
672,Insulation; Jablite EPS; 100mm thk; vert,,,m2,42.76,,6.52,36.24,,,4.38,,,,,,,,,,,,31.86,,,,,,,,,,,,,,,,,,,,,,,,
673,Insulation; Kingspan Thermafloor; 50mm thk; horz ,,,m2,13.86,,2.11,11.75,,,3.28,,,,,,,,,,,,8.46,,,,,,,,,,,,,,,,,,,,,,,,
674,Insulation; Kingspan Thermafloor; 70mm thk; horz; TF70,,,m2,17.63,,2.69,14.94,,,3.28,,,,,,,,,,,,11.66,,,,,,,,,,,,,,,,,,,,,,,,
675,Insulation; Kingspan Thermafloor; 110mm thk; horz ,,,m2,18.22,,2.78,15.44,,,3.28,,,,,,,,,,,,12.16,,,,,,,,,,,,,,,,,,,,,,,,
676,Insulation; Kingspan Styrozone H350R; 50mm thk; horz ,,,m2,16.18,,2.47,13.71,,,3.28,,,,,,,,,,,,10.43,,,,,,,,,,,,,,,,,,,,,,,,
677,Insulation; Kingspan Styrozone H350R; 160mm thk; horz ,,,m2,27.76,,4.23,23.52,,,3.28,,,,,,,,,,,,20.24,,,,,,,,,,,,,,,,,,,,,,,,
678,Insulation; Kingspan Styrozone H350R; 160mm thk; vert,,,m2,30.08,,4.59,25.49,,,5.26,,,,,,,,,,,,20.24,,,,,,,,,,,,,,,,,,,,,,,,
679,Insulation; Kingspan Styrozone H350R; 300mm thk; horz ,,,m2,39.64,,6.05,33.59,,,3.28,,,,,,,,,,,,30.31,,,,,,,,,,,,,,,,,,,,,,,,
680,Insulation; Kingspan Styrozone H350R; 500mm thk; horz ,,,m2,65.87,,10.05,55.82,,,5.58,,,,,,,,,,,,50.24,,,,,,,,,,,,,,,,,,,,,,,,
681,Insulation; Kingspan Kooltherm K3; 40mm thk; horz ,,,m2,14.39,,2.20,12.19,,,3.28,,,,,,,,,,,,8.91,,,,,,,,,,,,,,,,,,,,,,,,
682,Insulation; Kingspan Kooltherm K3; 40mm thk; vert,,,m2,15.68,,2.39,13.29,,,4.38,,,,,,,,,,,,8.91,,,,,,,,,,,,,,,,,,,,,,,,
683,Insulation; Kingspan Kooltherm K8; 50mm thk; horz ,,,m2,23.25,,3.55,19.71,,,3.28,,,,,,,,,,,,16.42,,,,,,,,,,,,,,,,,,,,,,,,
684,Insulation; Kingspan Kooltherm K8; 50mm thk; vert,,,m2,24.54,,3.74,20.80,,,4.38,,,,,,,,,,,,16.42,,,,,,,,,,,,,,,,,,,,,,,,
685,Insulation; Kingspan Greenguard 300; 80mm thk; horz ,,,m2,34.79,,5.31,29.48,,,3.28,,,,,,,,,,,,26.19,,,,,,,,,,,,,,,,,,,,,,,,
686,Insulation; Kingspan Greenguard 300; 80mm thk; vert,,,m2,36.08,,5.50,30.57,,,4.38,,,,,,,,,,,,26.19,,,,,,,,,,,,,,,,,,,,,,,,
687,Insulation; XPS CB-RT03; 155mm thk; horz ,,,m2,27.76,,4.23,23.52,,,3.28,,,,,,,,,,,,20.24,,,,,,,,,,,,,,,,,,,,,,,,
688,Insulation; XPS CB-RT03; 305mm thk; horz ,,,m2,40.64,,6.20,34.44,,,3.28,,,,,,,,,,,,31.16,,,,,,,,,,,,,,,,,,,,,,,,
689,Insulation; 30mm thk; vert,,,m2,10.72,,1.63,9.08,,,4.04,,,,,,,,,,,,5.04,,,,,,,,,,,,,,,,,,,,,,,,
690,Insulation; 30mm thk; vert; 450mm wide,,,m,5.78,,0.88,4.89,,,2.63,,,,,,,,,,,,2.27,,,,,,,,,,,,,,,,,,,,,,,,
691,Insulation; 30mm thk; vert; 900mm wide,,,m,9.78,,1.49,8.29,,,3.75,,,,,,,,,,,,4.53,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DPM's / Waterproofing / Gas barriers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DPM ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,500g visqueen (125mu); horizontal,,,m2,1.30,,0.20,1.10,,0.49,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,
693,500g visqueen (125mu); vertical,,,m2,1.88,,0.29,1.59,,0.98,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,
694,1200g visqueen (300mu); horizontal,,,m2,1.99,,0.30,1.69,,0.49,,,,,,,,,,,,,1.20,,,,,,,,,,,,,,,,,,,,,,,,
695,1200g visqueen (300mu); sloping,,,m2,1.67,,0.25,1.41,,0.81,,,,,,,,,,,,,0.60,,,,,,,,,,,,,,,,,,,,,,,,
696,1200g visqueen (300mu); vertical,,,m2,1.86,,0.28,1.58,,0.98,,,,,,,,,,,,,0.60,,,,,,,,,,,,,,,,,,,,,,,,
697,Seal & dress around pile,,,nr,24.46,,3.73,20.73,,8.15,10.00,,,,,,,,,,,,2.58,,,,,,,,,,,,,,,,,,,,,,,,
698,1200g visqueen (300mu); horizontal; folded and taped joints,,,m2,2.88,,0.44,2.44,,1.63,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,
699,2000g visqueen (500mu) ECO membrane; horizontal,,,m2,3.26,,0.50,2.76,,0.81,,,,,0.20,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,
700,2000g visqueen (500mu) ECO membrane; vertical,,,m2,4.06,,0.62,3.44,,1.44,,,,,0.25,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,
701,2mm HDPE pond/lagoon liner,,,m2,17.40,,2.65,14.74,,2.44,,,,,0.30,,,,,,,,12.00,,,,,,,,,,,,,,,,,,,,,,,,
,Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,RIW LAC; 2 coats; horz,,,m2,12.45,,1.90,10.55,,4.07,,,,,,,,,,,,,6.48,,,,,,,,,,,,,,,,,,,,,,,,
703,RIW LAC; 2 coats; vert,,,m2,13.41,,2.05,11.37,,4.89,,,,,,,,,,,,,6.48,,,,,,,,,,,,,,,,,,,,,,,,
704,RIW Flexiseal; 2 coats; horz,,,m2,34.94,,5.33,29.61,,6.11,,,,,,,,,,,,,23.50,,,,,,,,,,,,,,,,,,,,,,,,
705,RIW Flexiseal; 2 coats; vert,,,m2,37.35,,5.70,31.65,,8.15,,,,,,,,,,,,,23.50,,,,,,,,,,,,,,,,,,,,,,,,
706,RIW Toughseal (2pt epoxy); 2 coats; horz,,,m2,39.81,,6.07,33.74,,6.11,,,,,,,,,,,,,27.63,,,,,,,,,,,,,,,,,,,,,,,,
707,RIW Toughseal (2pt epoxy); 2 coats; vert,,,m2,42.21,,6.44,35.77,,8.15,,,,,,,,,,,,,27.63,,,,,,,,,,,,,,,,,,,,,,,,
708,Sikalastic 1K; horizontal,,,m2,34.94,,5.33,29.61,,6.11,,,,,,,,,,,,,23.50,,,,,,,,,,,,,,,,,,,,,,,,
709,Sikalastic 1K; vertical,,,m2,37.35,,5.70,31.65,,8.15,,,,,,,,,,,,,23.50,,,,,,,,,,,,,,,,,,,,,,,,
710,Silcor 900HA; horizontal,,,m2,54.67,,8.34,46.33,,6.11,,,,,0.50,,,,,,,,39.72,,,,,,,,,,,,,,,,,,,,,,,,
711,Silcor 900HA; vertical,,,m2,57.07,,8.71,48.37,,8.15,,,,,0.50,,,,,,,,39.72,,,,,,,,,,,,,,,,,,,,,,,,
712,Synthaprufe; 2 coats; horz,,,m2,21.92,,3.34,18.58,,4.07,,,,,,,,,,,,,14.50,,,,,,,,,,,,,,,,,,,,,,,,
713,Synthaprufe; 2 coats; vert,,,m2,23.52,,3.59,19.93,,5.43,,,,,,,,,,,,,14.50,,,,,,,,,,,,,,,,,,,,,,,,
714,Synthaprufe; 3 coats; horz,,,m2,33.03,,5.04,27.99,,6.11,,,,,,,,,,,,,21.88,,,,,,,,,,,,,,,,,,,,,,,,
715,Synthaprufe; 3 coats; vert,,,m2,35.43,,5.40,30.03,,8.15,,,,,,,,,,,,,21.88,,,,,,,,,,,,,,,,,,,,,,,,
716,Pudlo Liquid GB; horizontal,,,m2,32.88,,5.02,27.86,,6.11,,,,,0.50,,,,,,,,21.25,,,,,,,,,,,,,,,,,,,,,,,,
717,Pudlo Liquid GB; vertical,,,m2,37.21,,5.68,31.53,,8.15,,,,,0.50,,,,,,,,22.89,,,,,,,,,,,,,,,,,,,,,,,,
718,Premcrete Hydroprufe LG; horz,,,m2,32.88,,5.02,27.86,,6.11,,,,,0.50,,,,,,,,21.25,,,,,,,,,,,,,,,,,,,,,,,,
719,Premcrete Hydroprufe LG; vert,,,m2,37.21,,5.68,31.53,,8.15,,,,,0.50,,,,,,,,22.89,,,,,,,,,,,,,,,,,,,,,,,,
720,EO Hydroprufe LG for quartz aggregate spread on surface; horz,,,m2,4.30,,0.66,3.64,,2.44,,,,,,,,,,,,,1.20,,,,,,,,,,,,,,,,,,,,,,,,
721,Premcrete Hydroseal FX white; horz,,,m2,31.80,,4.85,26.95,,6.11,,,,,0.50,,,,,,,,20.34,,,,,,,,,,,,,,,,,,,,,,,,
722,Premcrete Hydroseal FX white; vert,,,m2,36.05,,5.50,30.55,,8.15,,,,,0.50,,,,,,,,21.90,,,,,,,,,,,,,,,,,,,,,,,,
723,Cemflex VB active metal waterstop,,,m ,23.74,,3.62,20.12,,,8.76,,,,1.00,,,,,,,,10.36,,,,,,,,,,,,,,,,,,,,,,,,
724,Chem-Crete Pavix; CCC100; horz,,,m2,46.15,,7.04,39.11,,6.11,,,,,,,,,,,,,33.00,,,,,,,,,,,,,,,,,,,,,,,,
725,Chem-Crete Pavix; CCC100; vert,,,m2,48.55,,7.41,41.15,,8.15,,,,,,,,,,,,,33.00,,,,,,,,,,,,,,,,,,,,,,,,
726,Chem-Crete Pavix; CCC100; soffit,,,m2,72.33,,11.03,61.30,,16.30,,,,,,,,,,,,,45.00,,,,,,,,,,,,,,,,,,,,,,,,
727,Bituthene LM; 3 coats; vert,,,m2,35.43,,5.40,30.03,,8.15,,,,,,,,,,,,,21.88,,,,,,,,,,,,,,,,,,,,,,,,
,Mastic Asphalt Tanking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,20mm thick 2 coat; exc 300mm width; horizontal,,,m2,47.20,,7.20,40.00,,,,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,,,,,,,,,
729,20mm thick 2 coat; exc 300mm width; vertical,,,m2,59.00,,9.00,50.00,,,,,,,,,,,,,,,,,50.00,,,,,,,,,,,,,,,,,,,,,,
730,Form external angle,,,m,9.44,,1.44,8.00,,,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,,,,,,,
731,Internal angle fillet,,,m ,11.80,,1.80,10.00,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,
,Hydrophillic/Bentonite membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,Voltex/Sealmat; horizontal,,,m2,26.90,,4.10,22.79,,9.04,,,,,,,,,,,,,13.75,,,,,,,,,,,,,,,,,,,,,,,,
733,Voltex/Sealmat; sloping,,,m2,29.03,,4.43,24.60,,10.85,,,,,,,,,,,,,13.75,,,,,,,,,,,,,,,,,,,,,,,,
734,Voltex/Sealmat; vertical,,,m2,30.65,,4.68,25.97,,12.22,,,,,,,,,,,,,13.75,,,,,,,,,,,,,,,,,,,,,,,,
735,Voltex; vertical; to face of contig piles,,,m2,33.53,,5.12,28.42,,14.67,,,,,,,,,,,,,13.75,,,,,,,,,,,,,,,,,,,,,,,,
736,Voltex; seal at junctions; 40 x 40 fillet granules paste,,,m ,13.26,,2.02,11.23,,8.07,,,,,,,,,,,,,3.17,,,,,,,,,,,,,,,,,,,,,,,,
737,Voltex; reinforcing strip; 300mm wide,,,m,11.46,,1.75,9.71,,6.11,,,,,,,,,,,,,3.60,,,,,,,,,,,,,,,,,,,,,,,,
738,Hydrophillic waterstop (RX101/500S),,,m,16.23,,2.48,13.76,,,5.26,,,,,,,,,,,,8.50,,,,,,,,,,,,,,,,,,,,,,,,
739,Hydrostop BR adhered to Hydrostop WSM,,,m,18.24,,2.78,15.45,,,5.84,,,,,,,,,,,,9.61,,,,,,,,,,,,,,,,,,,,,,,,
740,RIW Structureseal; horizontal,,,m2,24.90,,3.80,21.10,,7.47,,,,,,,,,,,,,13.64,,,,,,,,,,,,,,,,,,,,,,,,
741,RIW Structureseal; vertical,,,m2,27.84,,4.25,23.59,,9.96,,,,,,,,,,,,,13.64,,,,,,,,,,,,,,,,,,,,,,,,
742,Proofex Hydromat; horizontal,,,m2,35.95,,5.48,30.47,,7.47,,,,,,,,,,,,,23.00,,,,,,,,,,,,,,,,,,,,,,,,
743,Proofex Hydromat; vertical,,,m2,38.89,,5.93,32.96,,9.96,,,,,,,,,,,,,23.00,,,,,,,,,,,,,,,,,,,,,,,,
744,Premcrete Maxiprufe 2000; horizontal,,,m2,17.37,,2.65,14.72,,7.47,,,,,,,,,,,,,7.25,,,,,,,,,,,,,,,,,,,,,,,,
745,Premcrete Maxiprufe 2000; vertical,,,m2,20.30,,3.10,17.21,,9.96,,,,,,,,,,,,,7.25,,,,,,,,,,,,,,,,,,,,,,,,
746,Premcrete Twinseal; seal at junctions; 5 x 50 fillet,,,m ,11.36,,1.73,9.63,,7.47,,,,,,,,,,,,,2.16,,,,,,,,,,,,,,,,,,,,,,,,
747,Premcrete Maxiprufe Plus; horizontal,,,m2,25.43,,3.88,21.55,,7.47,,,,,,,,,,,,,14.09,,,,,,,,,,,,,,,,,,,,,,,,
748,Premcrete Maxiprufe Plus; vertical,,,m2,28.37,,4.33,24.04,,9.96,,,,,,,,,,,,,14.09,,,,,,,,,,,,,,,,,,,,,,,,
749,Tecknochem HBR 50 x 50 mortar fillet to intersection,,,m,11.36,,1.73,9.63,,7.47,,,,,,,,,,,,,2.16,,,,,,,,,,,,,,,,,,,,,,,,
750,Hydrostop WS10 to penetrations through slab,,,nr,41.78,,6.37,35.41,,6.11,,,,,,,,,,,,,29.30,,,,,,,,,,,,,,,,,,,,,,,,
751,Hydrostop WS10 to penetrations through slab,,,m,41.78,,6.37,35.41,,6.11,,,,,,,,,,,,,29.30,,,,,,,,,,,,,,,,,,,,,,,,
752,Twinseal compound to penetrations through slab,,,nr,12.35,,1.88,10.47,,7.47,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,
753,Hydrophillic waterstop,,,m,12.51,,1.91,10.61,,,5.26,,,,,,,,,,,,5.35,,,,,,,,,,,,,,,,,,,,,,,,
,Pre-Applied Membranes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Triton Triseal; horizontal,,,m2,27.52,,4.20,23.32,,4.07,,,,,,,,,,,,,19.25,,,,,,,,,,,,,,,,,,,,,,,,
755,Triton Triseal; vertical,,,m2,32.33,,4.93,27.40,,8.15,,,,,,,,,,,,,19.25,,,,,,,,,,,,,,,,,,,,,,,,
756,Preprufe; 300R; horizontal,,,m2,36.57,,5.58,31.00,,4.07,,,,,,,,,,,,,26.92,,,,,,,,,,,,,,,,,,,,,,,,
757,Preprufe; 300R; horizontal; narrow widths ne 300mm,,,m2,48.64,,7.42,41.22,,5.42,,,,,,,,,,,,,35.81,,,,,,,,,,,,,,,,,,,,,,,,
758,Preprufe; 300R; vertical,,,m2,41.38,,6.31,35.07,,8.15,,,,,,,,,,,,,26.92,,,,,,,,,,,,,,,,,,,,,,,,
759,Preprufe; 160R; horizontal (not recommended),,,m2,34.22,,5.22,29.00,,4.07,,,,,,,,,,,,,24.93,,,,,,,,,,,,,,,,,,,,,,,,
760,Preprufe; 160R; vertical,,,m2,37.48,,5.72,31.76,,8.15,,,,,,,,,,,,,23.61,,,,,,,,,,,,,,,,,,,,,,,,
761,Preprufe internal/perimeter junction,,,m,8.88,,1.35,7.52,,4.07,,,,,,,,,,,,,3.45,,,,,,,,,,,,,,,,,,,,,,,,
762,Preprufe; 800PA; horizontal,,,m2,23.94,,3.65,20.29,,4.07,,,,,,,,,,,,,16.21,,,,,,,,,,,,,,,,,,,,,,,,
763,Preprufe; 800PA; vertical,,,m2,28.75,,4.38,24.36,,8.15,,,,,,,,,,,,,16.21,,,,,,,,,,,,,,,,,,,,,,,,
764,SikaProof A-(08); horizontal,,,m2,30.55,,4.66,25.89,,4.07,,,,,,,,,,,,,21.82,,,,,,,,,,,,,,,,,,,,,,,,
765,SikaProof A-(08); vertical,,,m2,35.36,,5.39,29.97,,8.15,,,,,,,,,,,,,21.82,,,,,,,,,,,,,,,,,,,,,,,,
766,Sikadur 41; 75 x 75 fillet; around top of piles,,,m ,13.48,,2.06,11.43,,8.07,,,,,,,,,,,,,3.36,,,,,,,,,,,,,,,,,,,,,,,,
767,Sikadur 32; applied to top of piles,,,m2,27.21,,4.15,23.06,,9.78,,,,,,,,,,,,,13.28,,,,,,,,,,,,,,,,,,,,,,,,
768,Sika; seal at junctions,,,m ,11.36,,1.73,9.63,,7.47,,,,,,,,,,,,,2.16,,,,,,,,,,,,,,,,,,,,,,,,
769,Pudlo GP Ultra +; gas & water membrane; horizontal,,,m2,33.45,,5.10,28.35,,4.07,,,,,,,,,,,,,24.27,,,,,,,,,,,,,,,,,,,,,,,,
770,Pudlo GP Ultra +; gas & water membrane; vertical,,,m2,38.10,,5.81,32.29,,8.15,,,,,,,,,,,,,24.14,,,,,,,,,,,,,,,,,,,,,,,,
771,Combiseal; horizontal; (gas & water),,,m2,33.45,,5.10,28.35,,4.07,,,,,,,,,,,,,24.27,,,,,,,,,,,,,,,,,,,,,,,,
772,Combiseal; vertical (gas & water),,,m2,38.10,,5.81,32.29,,8.15,,,,,,,,,,,,,24.14,,,,,,,,,,,,,,,,,,,,,,,,
773,Combiseal; Hydroprufe 8000 vertical (gas & water),,,m2,61.20,,9.34,51.86,,16.30,,,,,,,,,,,,,35.57,,,,,,,,,,,,,,,,,,,,,,,,
774,Combi seal 150mm; horz; lapped & taped,,,m2,33.45,,5.10,28.35,,4.07,,,,,,,,,,,,,24.27,,,,,,,,,,,,,,,,,,,,,,,,
773,Combi seal 150mm; horz; lapped & taped; shot-fired to conc,,,m,14.70,,2.24,12.46,,2.44,,,,,1.50,,,,,,,,8.51,,,,,,,,,,,,,,,,,,,,,,,,
774,Hydroprufe HCR butyl tape reinforcement,,,m,4.11,,0.63,3.49,,2.44,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,
775,Twinseal compound 50 x 50 fillet; around top of piles,,,m ,27.18,,4.15,23.03,,8.07,,,,,,,,,,,,,14.97,,,,,,,,,,,,,,,,,,,,,,,,
774,Twinseal compound 5 x 50 fillet; around top of piles; secured by termination bar,,,m ,33.34,,5.09,28.25,,9.78,,,,,,,,,,,,,18.48,,,,,,,,,,,,,,,,,,,,,,,,
775,Hydrostop WSM 15mm bead; seal at junctions,,,m ,12.69,,1.94,10.75,,7.47,,,,,,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,,,,,,
776,Premcrete Hydroseal FX; horizontal; around top of piles,,,m ,15.97,,2.44,13.54,,8.07,,,,,,,,,,,,,5.47,,,,,,,,,,,,,,,,,,,,,,,,
775,Premcrete Twinseal 50 x 50mm fillet seal at junctions,,,m ,14.77,,2.25,12.52,,7.47,,,,,,,,,,,,,5.05,,,,,,,,,,,,,,,,,,,,,,,,
776,"Detailing to combiseal; angles, fillets, junctions, intersections, etc",,,item,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,Proofex Engage; horizontal,,,m2,25.65,,3.91,21.74,,4.07,,,,,,,,,,,,,17.67,,,,,,,,,,,,,,,,,,,,,,,,
776,Proofex Engage; vertical,,,m2,30.46,,4.65,25.81,,8.15,,,,,,,,,,,,,17.67,,,,,,,,,,,,,,,,,,,,,,,,
777,Proofex Engage; fillet to penetrations,,,m,20.45,,3.12,17.33,,8.15,,,,,,,,,,,,,9.18,,,,,,,,,,,,,,,,,,,,,,,,
,Bonded / stick on membranes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,Bituthene MRX; horizontal,,,m2,19.19,,2.93,16.26,,8.15,,,,,0.50,,,,,,,,7.61,,,,,,,,,,,,,,,,,,,,,,,,
